Codigo;Data Nasc;Bairro;Cidade;Sexo
0130466;;CORDEIRO;RECIFE;
0130469;;CORDEIRO;RECIFE;M
0130470;;CORDEIRO;RECIFE;M
0130480;;CORDEIRO;RECIFE;
0130488;;CORDEIRO;RECIFE;M
0130490;;ENCRUZILHADA;RECIFE;F
0130499;;CORDEIRO;RECIFE;
0130527;;CORDEIRO;RECIFE;F
0130536;;CORDEIRO;RECIFE;
0130539;;CORDEIRO;RECIFE;M
0130544;;CORDEIRO;RECIFE;
0130547;;CORDEIRO;RECIFE;
0130549;;CORDEIRO;RECIFE;M
0130550;;BOA VIAGEM;RECIFE;F
0130553;;CORDEIRO;RECIFE;
0130556;;CORDEIRO;RECIFE;
0130568;;JARDIM ATLANTICO;OLINDA;
0130569;;MADALENA;RECIFE;F
0130574;;CORDEIRO;RECIFE;
0130575;;CORDEIRO;RECIFE;F
0130579;;CORDEIRO;RECIFE;
0130587;;SANTANA;SÃO PAULO;
0130588;;SANTO AMARO;SÃO PAULO;
0130642;;CORDEIRO;RECIFE;
0130643;;CORDEIRO;RECIFE;
0130661;;CERQUEIRA CESAR;SÃO PAULO;
0130677;;CORDEIRO;RECIFE;M
0130687;;VILA YARA;OSASCO;
0130688;;CORDEIRO;RECIFE;F
0130689;;DOIS IRMAOS;RECIFE;
0130709;;ILHA DO LEITE;RECIFE;
0130729;;VILA POPULAR;OLINDA;
0130734;;CORDEIRO;RECIFE;
0130735;;CENTRO;RECIFE;M
0130741;;JDA NSA SRA CAR;SÃO PAULO;
0130745;;LAPA;SÃO PAULO;F
0130747;;IMBIRIBEIRA;RECIFE;
0130754;;JARDIM DO LAGO;CAMPINAS;
0130756;;JARDIM STA JUL;ITUPEVA;
0130757;;CENTRO;CAMPANHA;
0130764;;PAULICEIA;RECIFE;M
0130765;;PRAZERES;RECIFE;
0130777;;PQUE MEIA LUA;RECIFE;
0130779;;JD ITALIA;SÃO JOSÉ DOS PINHAIS;
0130780;;VILA ARQUIMEDE;MARAPOAMA;
0130784;;BARRO BRANCO;COTIA;
0130785;;JARDIN OTAWA;RECIFE;
0130787;;;RIO DO SUL;
0130789;;CENTRO;SÃO PAULO;
0130792;;VILA TIMOTEO;SÃO PAULO;
0130802;;BARRA FUNDA;SÃO PAULO;
0130805;;CURSINO;SÃO PAULO;
0130810;;MACHADOS;NAVEGANTES;
0130824;;CORDEIRO;RECIFE;M
0130830;;BONFIM;CAMPINAS;M
0130834;;CORDEIRO;RECIFE;M
0130840;;JARDIM SANTA INÊS;GUARULHOS;
0130845;;JATIUCA;MACEIÓ;
0130863;;CENTRO;SANTOS;
0130870;;CORDEIRO;RECIFE;F
0130871;;CAJA;VITÓRIA DE SANTO ANTÃO;
0130872;;AGAMENOM MAGALHAES;CARUARU;
0130888;;CORDEIRO;RECIFE;
0130901;;VARZEA;RECIFE;
0130903;;JARDIM DA LUZ;GOIÂNIA;
0130928;;;TERMINAL INTERMODAL  CAMPINAS;
0130930;;CORDEIRO;RECIFE;
0130932;;;JARDIM NOVA LIMEIRA  LIMEIRA;
0130946;;BOA VISTA;RECIFE;
0130969;;ILHA DO RETIRO;RECIFE;M
0130982;;SANTA CATARINA;CAXIAS DO SUL;
0148962;;VÁRZEA;RECIFE;M
0131014;;;PARQUE INDUSTRIAL LA RIBEIRÃO PRETO;F
0131017;;;RECIFE;M
0131022;;CORDEIRO;RECIFE;M
0131024;;CENTRO;DOIS VIZINHOS;
0204218;;CORDEIRO;RECIFE;M
0131028;;TORROES;RECIFE;M
0131032;;CORDEIRO;ELDORADO DO SUL;M
0131033;;MADALENA;RECIFE;
0131039;;PRADO;RECIFE;
0131055;;VILA CALIFORNIA;SÃO PAULO;
0131125;;CRUZ PRETA;SÃO PAULO;
0131128;;BONSUCESSO;SÃO PAULO;
0131141;;BARRA FUNDA;SÃO PAULO;
0131145;;SANTA EFIGENIA;SÃO PAULO;
0131147;;CUMBICA;SÃO PAULO;
0131151;;CAMBUCI;SÃO PAULO;
0131154;;JD PLATINA;SÃO PAULO;
0131165;;VILA GUMERCINDO;SÃO PAULO;M
0131179;;CENTRO;SÃO PAULO;
0131180;;JD SANTO ELIAS;SÃO PAULO;
0131195;;IPIRANGA;SÃO PAULO;M
0131200;;VILA BANDEIRANTES;SÃO PAULO;
0131210;;VILA GUILHERME;SÃO PAULO;
0131213;;JD CALIFORNIA;SÃO PAULO;
0131220;;;ERMELINDO MATARAZZO  SÃO PAULO;M
0131222;;PARQUE DA MOOCA;SÃO PAULO;
0131223;;JORDANESIA;SÃO PAULO;
0131224;;BARRA FUNDA;SÃO PAULO;
0131230;;SANTO ANTONIO;SÃO PAULO;
0131234;;SAO PAULO;SÃO PAULO;
0131236;;AV NOVA YORK;SÃO PAULO;M
0131239;;TATAUPE;SÃO PAULO;
0131240;;BARRA FUNDA;SÃO PAULO;
0131243;;IPIRANGA;SÃO PAULO;
0131246;;PIQUERI;SÃO PAULO;
0131247;;PARQUE COLONIAL;SÃO PAULO;M
0131249;;V MARIA;SÃO PAULO;
0131258;;VL MARIA DE MAGGI;SUZANO;
0131259;;BARRA FUNDA;SÃO PAULO;M
0131260;;IPIRANGA;SÃO PAULO;
0131263;;JARDIM CLIMAX;SÃO PAULO;
0131264;;;VILA ANGLO BRASILEIR SÃO PAULO;
0131272;;;CHACARA SANTO ANTONI SÃO PAULO;
0131276;;JARDIM SCYNTILA;GUARULHOS;
0131285;;VILA RE;SÃO PAULO;
0131286;;JACANA;SÃO PAULO;M
0131289;;V. MONTE ALEGRE;SÃO PAULO;
0152676;;PINA;RECIFE;M
0124854;;IMBIRIBEIRA;RECIFE;
0124866;;IPUTINGA;RECIFE;
0124911;;IPUTINGA;RECIFE;
0124928;;PRAZERES;JABOATÃO DOS GUARARAPES;
0124967;;IMBIRIBEIRA;RECIFE;
0124990;;MADALENA;RECIFE;
0125027;;VILA UNIAO;FORTALEZA;
0125046;;IMBIRIBEIRA;RECIFE;M
0125070;;PINA;RECIFE;
0125055;;AGAMENOM MAGALHAES;CARUARU;
0125057;;IMBIRIBEIRA;RECIFE;
0125069;;MADALENA;RECIFE;
0125085;;PRAZERES;RECIFE;
0061179;;PIEDADE;JABOATÃO DOS GUARARAPES;M
0125146;;CAXANGA;RECIFE;F
0125148;;BAIRRO DO RECIFE;RECIFE;
0125171;;SAN MARTIM;RECIFE;M
0125411;;AFOGADOS;RECIFE;
0125412;;AFOGADOS;RECIFE;
0125427;;AFOGADOS;RECIFE;M
0125428;;AFOGADOS;RECIFE;F
0125625;;IPSEP;RECIFE;F
0125946;;PRAZERES;JABOATÃO DOS GUARARAPES;
0125963;;CASTELO;AMPARO;F
0125969;;PRADO;RECIFE;
0152706;;ILHA JOANA BEZERRA;RECIFE;M
0126217;;PRAZERES;JABOATÃO DOS GUARARAPES;
0126422;;MARCOS FREIRE;JABOATÃO DOS GUARARAPES;
0126441;;VARZEA;RECIFE;M
0126757;;PALNALTO;SÃO BERNARDO DO CAMPO;
0127329;;VARZEA;RECIFE;
0127568;;SANTO ALEIXO;JABOATÃO DOS GUARARAPES;M
0127557;;CAMPINA DE FEIRA;IGARASSU;M
0127746;;CORDEIRO;RECIFE;
0127865;;CORDEIRO;RECIFE;M
0127934;;CORDEIRO;JABOATÃO DOS GUARARAPES;M
0127937;;ENCRUZILHADA;RECIFE;
0127953;;IPUTINGA;RECIFE;
0128048;;DOM THIAGO POSTMA;GARANHUNS;
0128126;;CANDEIAS;JABOATÃO DOS GUARARAPES;M
0128576;;PINA;RECIFE;
0127795;;TORRE;RECIFE;M
0128699;;QUINTA ETAPA;OLINDA;M
0128915;;PINA;RECIFE;M
0129049;;TORRE;RECIFE;
0129358;;PIEDADE;JABOATÃO DOS GUARARAPES;
0204145;;CORDEIRO;RECIFE;M
0129548;;AGUA FRIA;RECIFE;
0129581;;CORDEIRO;RECIFE;
0129677;;BARRO;RECIFE;
0129688;;TAMARINEIRA;RECIFE;M
0129691;;ARTUR LUNGREN II;PAULISTA;
0129721;;AFOGADOS;RECIFE;F
0129871;;CORDEIRO;RECIFE;
0129973;;AFOGADOS;RECIFE;M
0129978;;SAO JOSE;RECIFE;F
0152420;;PIRAPAMA;CABO DE SANTO AGOSTINHO;
0130024;;CORDEIRO;RECIFE;M
0130074;;IPSEP;RECIFE;
0130111;;IMBIRIBEIRA;RECIFE;
0130153;;JARDIM PAULISTA;SÃO PAULO;
0130154;;PREZERES;JABOATÃO DOS GUARARAPES;F
0130174;;AFOGADOS;RECIFE;F
0130179;;BOA VIAGEM;RECIFE;M
0130206;;AFOGADOS;RECIFE;M
0130325;;CANDEIAS;JABOATÃO DOS GUARARAPES;M
0130349;;;DISTRITO INDUSTRIAL  UBERLÂNDIA;
0130372;;IMBIRIBEIRA;RECIFE;
0130403;;BOA VISTA;RECIFE;
0130416;;SITIO MORRO GRANDE;SÃO PAULO;
0130431;;IMBIRIBEIRA;RECIFE;
0130443;;VILA GALVAO;CAÇAPAVA;
0130458;;GRANJAS RURAIS;SALVADOR;
0130518;;CORDEIRO;RECIFE;
0130531;;VILA INVERNADA;SÃO PAULO;
0130534;;JARDIM HERCILIA;SÃO PAULO;
0130595;;IMBIRIBEIRA;RECIFE;
0130597;;KENNEDY;CARUARU;F
0130601;;TORROES;RECIFE;
0130616;;CORDEIRO;RECIFE;
0130628;;CURADO IV;JABOATÃO DOS GUARARAPES;
0130652;;CORDEIRO;RECIFE;M
0130679;;NAVEGANTES;PORTO ALEGRE;
0130695;;JARDIM JARAGUA;SÃO PAULO;
0130703;;CORDEIRO;RECIFE;
0130705;;GUARARAPES;JABOATÃO DOS GUARARAPES;
0130707;;MORADA NOVA;TERESINA;
0130708;;CACAIGUERA;CAMPINA GRANDE DO SUL;
0130719;;GUARARAPES;JABOATÃO DOS GUARARAPES;
0130722;;CORDEIRO;RECIFE;M
0130728;;CORDEIRO;RECIFE;
0130827;;CORDEIRO;RECIFE;M
0130839;;CORDEIRO;RECIFE;
0130886;;CORDEIRO;RECIFE;
0130851;;CAMPO GRANDE;RECIFE;
0130860;;VILA OLIMPIA;SÃO PAULO;M
0130865;;CORDEIRO;RECIFE;
0130876;;CORDEIRO;RECIFE;
0130879;;GUARARAPES;JABOATÃO DOS GUARARAPES;
0130912;;SAO SEBASTIAO;PORTO ALEGRE;
0130948;;SITIO NOVO;OLINDA;
0130972;;ENGENHO DO MEIO;RECIFE;M
0131061;;CENTRO;BELO JARDIM;M
0001577;;SANTO ANTÔNIO;RECIFE;
0001582;;CORDEIRO;RECIFE;
0003006; 04/02/2012;CURAD;RECIFE;
0003041; 05/05/2012;RIO DOC;OLINDA;F
0003408; 27/08/2012;IMBIRIBEIR;RECIFE;F
0003781; 12/05/2012;MADALEN;RECIFE;
0005050; 12/06/2013;ILHA DO LEIT;RECIFE;
0004322; 18/06/2013;CORDEIR;RECIFE;
0001661; 02/06/1992;PARATIB;PAULISTA;
0008030; 31/12/2015;AFOGADO;RECIFE;
0001670; 19/11/2012;ESTRADA DE ALDEI;IGARASSU;
0008120; 13/07/2012;ESPINHEIR;RECIFE;
0001671; 07/12/1990;VARZE;RECIFE;
0008174; 13/07/2012;IMBIRIBEIR;RECIFE;F
0101897;;MADALENA;RECIFE;M
0008207; 13/07/2012;MADALEN;RECIFE;
0008261; 13/07/2012;CENTR;CARUARU;M
0008265; 13/07/2012;PRAD;RECIFE;
0008306; 13/07/2012;VARZE;RECIFE;
0008312; 13/07/2009;AFOGADO;RECIFE;
0154717;;VÁRZEA;RECIFE;
0069370;;ALBERTO MAIA;CAMARAGIBE;M
0008436; 13/07/2014;SANTA TERES;RECIFE;
0152811;;DOIS IRMÃOS;RECIFE;M
0008573; 13/07/2014;BOA VIAGE;RECIFE;
0008584; 13/07/2012;DOIS IRMAO;RECIFE;
0008644; 13/07/2012;MADALEN;RECIFE;M
0008674; 13/07/2012;SAO JOS;RECIFE;
0008714; 13/07/2012;PEIXINHO;OLINDA;
0008841; 11/08/2013;ALTO DA LIBERDAD;MORENO;
0008836; 21/07/2009;SOLEDAD;RECIFE;
0008958;;;SANTO ANTONIO CARPIN RECIFE;
0009173;;CORDEIRO;RECIFE;
0009416;;TIMBO;ABREU E LIMA;
0009450;;TIMBO;ABREU E LIMA;
0009493;;IMBIRIBEIRA;RECIFE;F
0009511;;PEIXINHOS;OLINDA;M
0009592;;CENTRO;ABREU E LIMA;
0011388;;BULTRINS;OLINDA;
0015215;;TAMARINEIRA;RECIFE;
0015603;;ZONA AZUL;FEIRA NOVA;M
0016100;;NOVA CARUARU;CARUARU;
0019289;;TORRE;RECIFE;
0019543;;MADALENA;RECIFE;
0024450;;AFLITOS;RECIFE;F
0024607;;TORRES;RECIFE;
0024619;;JARDIM;SANTO ANDRÉ;
0024724;;MADALENA;RECIFE;
0026935;;FLORESTA VELHA;FERNANDO DE NORONHA;
0027501;;CORDEIRO;JABOATÃO DOS GUARARAPES;F
0027888;;JARDIM PAULISTA;PAULISTA;
0030787;;CORDEIRO;JABOATÃO DOS GUARARAPES;M
0030988;;PINA;RECIFE;
0032323;;AFOGADOS;RECIFE;
0039433;;MADALENA;RECIFE;F
0041692;;SANTA MÔNICA;CAMARAGIBE;
0043550;;;III DISTRITO INDUSTR AMÉRICO BRASILIENSE;M
0050041;;COMPORTA;JABOATÃO DOS GUARARAPES;
0051057;;PIEDADE;JABOATÃO DOS GUARARAPES;
0062943;;MACAXEIRA;RECIFE;
0058749;;IMBIRIBEIRA;RECIFE;
0067603;;PARATIBE;PAULISTA;
0074716;;ALTO JOSE DO PINHO;RECIFE;
0084861;;PINA;RECIFE;
0085296;;CENTRO;ARARIPINA;F
0085348;;DIVINOPOLIS;CARUARU;
0085381;;;TABULEIRO DOS MARTIN MACEIÓ;
0085436;;JARDIM JORDAO;JABOATÃO DOS GUARARAPES;M
0085463;;JAGURIBE;ESCADA;
0085512;;AFOGADOS;RECIFE;
0085525;;CENTRO;AFOGADOS DA INGAZEIRA;
0085840;;PEIXINHOS;OLINDA;M
0035222;;CURADO II;JABOATÃO DOS GUARARAPES;F
0105437;;SALGADO;BEZERROS;
0052590;;CENTRO;GOIÂNIA;M
0064159;;ZUMBI DO PACHECO;JABOATÃO DOS GUARARAPES;M
0152821;;CORDEIRO;RECIFE;M
0120541; 12/09/2014;IPUTING;RECIFE;
0001065; 19/03/2016;PARATIB;PAULISTA;
0077592;;CURADO IV;JABOATÃO DOS GUARARAPES;M
0104780;;CENTRO;CAMARAGIBE;M
0069337;;AFOGADOS;RECIFE;M
0001901; 07/05/1993;JARDIM BRASIL I;OLINDA;M
0143049;;ESTÂNCIA;RECIFE;M
0120857; 13/07/2014;AREIA;RECIFE;
0120878; 13/07/2014;AFOGADO;RECIFE;F
0120938;;SOCORRO;SÃO PAULO;
0120981;;CORDEIRO;RECIFE;M
0001150;;VARZEA;RECIFE;
0028745;;AREIAS;RECIFE;M
0002022; 22/07/2011;DISTRITO INDUSTRIAL  CABO DE SANTO AGOSTINH;0002022 22/07/2011 DISTRITO INDUSTRIAL  CABO DE SANTO AGOSTINHO;F
0002078; 23/11/2011;COMPLEXO SALGADINHO  RECIF;0002078 23/11/2011 COMPLEXO SALGADINHO  RECIFE;
0002144; 26/04/2011;CORDEIR;RECIFE;
0014141;;MADALENA;RECIFE;M
0002373; 12/02/1997;IMBIRIBEIR;RECIFE;
0002422; 18/05/2016;AREIA;RECIFE;M
0002545; 29/11/2012;MUSTARDINH;RECIFE;
0002573; 07/12/2013;AFOGADO;RECIFE;
0002578; 10/01/2012;IPUTING;RECIFE;
0002581; 29/01/2013;GRACA;RECIFE;
0002618; 25/09/2016;CORDEIR;RECIFE;F
0002630; 05/12/2016;DISTRITO INDUSTRIAL  ABREU E LIM;0002630 05/12/2016 DISTRITO INDUSTRIAL  ABREU E LIMA;
0002640; 21/03/2012;CORDEIR;RECIFE;M
0002644; 29/04/2012;RIO DOC;OLINDA;M
0002659; 14/10/2017;TORROE;RECIFE;
0002666; 10/12/2012;CAJ;CARPINA;
0002686; 29/03/2012;SAN MARTI;RECIFE;
0002690; 01/04/2012;JD.ATLANTIC;OLINDA;
0108556;;;MURIBECA DOS GUARARA JABOATÃO DOS GUARARAPES;F
0002759; 07/05/2018;CENTR;RECIFE;
0002848; 15/06/2018;IPUTING;RECIFE;
0002913; 14/07/2012;CASA CAIAD;OLINDA;M
0116399;;TAMARINEIRA;RECIFE;M
0002926; 05/08/2004;CASA FORT;RECIFE;
0093094;;TEJIPIO;RECIFE;M
0003099; 09/06/2018;TORR;RECIFE;
0003238; 12/07/2012;RECIFE ANTIG;RECIFE;M
0003518; 21/10/2014;CORDEIR;RECIFE;
0003670; 07/03/2012;IMBIRIBEIR;RECIFE;
0003637; 08/02/2006;PIN;RECIFE;
0003678; 10/03/2012;BOA VIAGE;RECIFE;
0003724; 12/04/2012;CURAD;RECIFE;
0003765; 02/05/2012;MADALEN;RECIFE;
0003817; 09/06/2016;VARZE;RECIFE;M
0003821; 13/06/2012;IMBIRIBEIR;RECIFE;
0003973; 05/10/2012;BOA VIAGE;RECIFE;
0003999; 23/10/2012;IPSE;RECIFE;M
0154377;;IMBIRIBEIRA;RECIFE;
0079120;;PIEDADE;JABOATÃO DOS GUARARAPES;M
0117445;;CANDEIAS;JABOATÃO DOS GUARARAPES;M
0004401; 28/07/2015;VARZE;RECIFE;
0097137;;AFOGADOS;RECIFE;M
0017282;;JD SAO PAUL;RECIFE;M
0005459; 06/01/2018;ARRUD;RECIFE;
0005549; 02/03/2018;CURADO I;RECIFE;M
0005809; 25/09/2009;PEIXINHO;OLINDA;
0006067; 08/04/2015;MALAQUIAS CARDOS;SANTA CRUZ DO CAPIBARIBE;M
0006164; 03/06/2016;CORDEIR;RECIFE;F
0006447; 17/11/2015;VILA RIC;JABOATÃO DOS GUARARAPES;
0128460;;CORDE;RECIFE;M
0081791;;MURIBARA;SÃO LOURENÇO DA MATA;M
0006779; 08/06/2018;CORDEIR;RECIFE;M
0006791; 11/07/2012;CENTR;BARREIROS;
0006814; 15/09/2013;SUCUPIR;RECIFE;
0006825; 22/08/2012;BONG;RECIFE;
0100279;;AFOGADOS;RECIFE;M
0041718;;ENGENHO POCINHO;MORENO;M
0153060;;CORDEIRO;RECIFE;M
0007131; 09/03/2012;CENTR;RECIFE;
0153087;;GUARARAPES;JABOATÃO DOS GUARARAPES;M
0007262; 08/03/2018;MADALEN;RECIFE;
0007280; 01/09/2016;MORRO CONCEICA;RECIFE;
0007412; 01/12/2012;TORROE;RECIFE;
0154751;;DERBY;RECIFE;M
0007571; 19/11/2012;SAO JOS;RECIFE;
0104190;;SANCHO;RECIFE;M
0007583; 19/11/2009;FAZ ENG MASSANGAN;RECIFE;M
0062024;;BARRO;RECIFE;
0007607; 19/11/2012;BOA VIIAGE;RECIFE;
0007697; 19/11/2009;BOA VIAGE;RECIFE;
0153176;;COHAB;RECIFE;M
0007742; 19/11/2009;MARANGUAPE 1 ;RECIFE;
0007795; 16/03/2012;VARZE;RECIFE;
0153079;;CENTRO;ARCOVERDE;
0153192;;ESPINHEIRO;RECIFE;M
0059188;;SAO JOSE;RECIFE;M
0153214;;CORDEIRO;RECIFE;
0007924; 24/03/2013;BOA VIST;RECIFE;
0154423;;AFOGADOS;RECIFE;M
0153249;;CURADO;JABOATÃO DOS GUARARAPES;M
0154571;;VÁRZEA;RECIFE;M
0008102; 13/07/2016;AFOGADO;RECIFE;F
0008093; 08/08/2011;CASA CAIAD;RECIFE;
0153257;;CORDEIRO;RECIFE;
0008123; 13/07/2009;SAO JOS;RECIFE;M
0008141; 13/07/2017;BOA VIST;RECIFE;
0153273;;CASA AMARELA;RECIFE;M
0153281;;MANGUEIRA;RECIFE;M
0008181; 13/07/2012;JARDIM JORDA;JABOATÃO DOS GUARARAPES;
0008237; 13/07/2012;VARZE;RECIFE;
0008287; 13/07/2012;JANG;PAULISTA;M
0008300; 13/07/2012;GRACA;RECIFE;
0008289; 13/07/2009;IPUTING;RECIFE;
0153303;;MADALENA;RECIFE;M
0008332; 13/07/2016;RODOVI;RECIFE;M
0008347; 13/07/2012;MADALEN;RECIFE;
0080749;;CANDEIAS;JABOATÃO DOS GUARARAPES;M
0008365; 13/07/2016;JARDIM S.PAUL;RECIFE;
0117770;;BOA VIAGEM;RECIFE;M
0008372; 13/07/2018;SAO JOS;RECIFE;
0015894;;MACAXEIRA;RECIFE;M
0008389; 13/07/2012;BOA VIAGE;RECIFE;
0008415; 13/07/2013;SANTO AMAR;RECIFE;M
0008429; 13/07/2012;DISTRITO INDUSTRIAL  ABREU E LIM;0008429 13/07/2012 DISTRITO INDUSTRIAL  ABREU E LIMA;
0125144;;CENTRO;RECIFE;M
0153354;;CORDEIRO;RECIFE;M
0043470;;CURADO IV;JABOATÃO DOS GUARARAPES;M
0008531; 13/07/2012;AFOGADO;RECIFE;
0008544; 13/07/2012;MACAXEIR;RECIFE;
0096725;;VARZEA;RECIFE;M
0008570; 13/07/2014;ENCRUZILHAD;RECIFE;M
0008586; 13/07/2017;ZONA RURA;UNIÃO;
0008588; 13/07/2017;IBUR;RECIFE;
0008590; 13/07/2012;BOA VIST;RECIFE;
0008622; 13/07/2012;MADALEN;RECIFE;F
0008658; 13/07/2018;NOVA SANTA CRU;SANTA CRUZ DO CAPIBARIBE;
0153400;;COQUEIRAL;RECIFE;M
0008685; 13/07/2012;IPUTING;RECIFE;M
0008687; 13/07/2012;ZUMB;RECIFE;
0008697; 13/07/2015;JIQUI;RECIFE;
0008760; 13/07/2012;CENTR;AFOGADOS DA INGAZEIRA;
0008777; 13/07/2012;IPUTING;RECIFE;
0153435;;JARDIM SÃO PAULO;RECIFE;M
0008892; 12/08/2012;VILA CORALIN;BAURU;
0008907; 25/10/2016;IBUR;RECIFE;
0008959;;CENTENARIO;CARUARU;M
0008960;;JD PRIMA VERA;RECIFE;
0008961;;VARZEA;RECIFE;F
0008965;;CORDEIRO;RECIFE;M
0008968;;SAO JUDAS TADEU;SÃO JOSÉ DO RIO PRETO;M
0008979;;POCO RICO;OTACÍLIO COSTA;
0008987;;BOA VIAGEM;RECIFE;
0008993; 13/07/2012;JOSE CONRRADO ARANHA ARACAJ;0008993 13/07/2012 JOSE CONRRADO ARANHA ARACAJU;
0009016;;INDIANOPOLIS;CARUARU;M
0009020;;CORDEIRO;RECIFE;
0009038; 26/04/2016;ALAMEDA DO BOLDR;FERNANDO DE NORONHA;
0009042;;CAETES;ABREU E LIMA;F
0009045;;BOA VIAGEM;RECIFE;
0009108;;PONTA NEGRA;NATAL;
0009126;;VARZEA;RECIFE;
0009146;;AFOGADOS;RECIFE;
0009228;;ALDEIA DOS CAMARAS;CAMARAGIBE;
0009306;;VARZEA;RECIFE;M
0009311;;AGUAZINHA;RECIFE;M
0009327;;PEIXINHOS;OLINDA;
0009389;;VASCO DA GAMA;RECIFE;M
0009391;;PENHA CIRCULAR;RIO DE JANEIRO;F
0009394;;CENTRO;PAULISTA;M
0009396; 13/07/2013;JD BRASI;OLINDA;M
0009402;;MATINADA;GOIANA;M
0204307;;CORDEIRO;RECIFE;M
0009420;;MADALENA SL 1401;RECIFE;
0009437;;IPUTINGA;RECIFE;
0009453;;SAO FRANCISCO;CARUARU;
0009462;;;COBO SONTO AGOSTINHO RECIFE;
0009481;;FUNDAO;RECIFE;
0009494;;CASA AMARELA;RECIFE;
0009505;;ROSARINHO;RECIFE;
0009520;;RECIFE ANTIGO;RECIFE;
0009528;;SAO CRISTOVAO;ARCOVERDE;M
0009529;;CENTRO;MORENO;
0009534;;AFOGADOS;RECIFE;
0009550;;BOA VIAGEM;RECIFE;M
0009567;;PRADO;RECIFE;
0009571;;CORDEIRO;RECIFE;
0009582;;;CAMINHO DAS ARVORES  SALVADOR;
0009587;;CORDEIRO;RECIFE;
0009621;;TORRE;RECIFE;F
0009632;;SANTA TEREZA;OLINDA;
0009645;;ENCRUZILHADA;RECIFE;
0009649;;BOA VIAGEM;RECIFE;
0009765;;IBIRIBEIRA;RECIFE;
0009777;;SANTA TEREZA;OLINDA;
0009856;;OURO PRETO;OLINDA;
0009882; 19/08/2016;SANTO AMAR;RECIFE;
0009883; 19/08/2018;VARZE;RECIFE;
0009885; 19/08/2016;SANTO AMAR;RECIFE;
0009898;;ALDEIA;CAMARAGIBE;
0009925; 14/11/2016;BOA VIST;RECIFE;
0009976;;CENTRO;CAMARAGIBE;
0009979; 23/05/2016;CAMARAGIB;CAMARAGIBE;
0009982; 23/05/2016;ALDEIA DOS CAMARA;CAMARAGIBE;
0010012; 23/05/2016;TORROE;RECIFE;
0010013; 23/05/2018;DOIS IRMAO;RECIFE;M
0010033; 23/05/2016;PREZERE;RECIFE;
0010037; 23/05/2016;BOA VIAGE;RECIFE;
0010045; 23/05/2016;PEIXINHO;RECIFE;M
0010057; 23/05/2016;AFOGADO;RECIFE;
0010068; 23/05/2016;CENTR;SÃO LOURENÇO DA MATA;
0010076; 23/05/2016;JARDIM ATLANTIC;OLINDA;
0010080; 23/05/2016;TIMB;CAMARAGIBE;
0010105;;IMBIRIBEIRA;RECIFE;
0010114;;IPUTINGA;RECIFE;
0010130;;CRUZ DE REBOUCA;IGARASSU;M
0010147;;CENTRO;LIMOEIRO;M
0010151;;HELIOPOLIS;GARANHUNS;M
0010160;;CURADO;RECIFE;
0204285;;CORDEIRO;RECIFE;M
0010249;;CENTRO;MACEIÓ;
0010261;;JARDIM PRIMAVERA;CAMARAGIBE;
0010270;;VASCO DA GAMA;RECIFE;
0010297;;IMBIRIBEIRA;RECIFE;M
0010619;;VASCO DA GAMA;RECIFE;F
0010887;;MADALENA;RECIFE;M
0011019; 13/12/2015;CORDEIR;RECIFE;
0011022; 13/12/2017;BOA VIAGE;RECIFE;M
0011023; 13/12/2015;MARIA FARINH;PAULISTA;M
0011611;;PITANGA;PESQUEIRA;
0011756;;ENGENHO DO MEIO;IPOJUCA;
0012045;;IPUTINGA;RECIFE;
0012279;;CASA AMARELA;RECIFE;M
0012397;;IBURA;RECIFE;
0012550;;IPOJUCA;ARCOVERDE;
0012693;;TRANQUEDO NEVES II;SÃO PAULO;M
0012763;;BOA VIAGEM;RECIFE;M
0012791;;CAXANGA;RECIFE;
0013194;;;RECIFE;
0013204;;NOVA MORADA VARZEA;RECIFE;
0013209;;TORROES;RECIFE;
0013239;;PIEDADE;RECIFE;M
0013286; 13/07/2015;COHA;RECIFE;M
0014248;;PASSARINHO;RECIFE;
0014295;;MACAXEIRA;RECIFE;
0014348;;BOA VIAGEM;RECIFE;
0014359;;PLANAUTO;SALGUEIRO;
0014539;;SAN MARINO;RIBEIRÃO DAS NEVES;
0015102;;CENTRO;GOIANA;M
0015251;;AFOGADOS;RECIFE;M
0015395;;CASA BRANCA;SANTO ANDRÉ;
0015418;;PINA;RECIFE;
0015526;;FUNDAO;RECIFE;M
0015648;;SAO JOSE;RECIFE;
0015815;;PRAZERES;JABOATÃO DOS GUARARAPES;
0015832;;CANDEIAS;JABOATÃO DOS GUARARAPES;
0016097;;TIMBO;PAULISTA;
0016099;;CENTRO;IPOJUCA;F
0016207;;IMBIRIBEIRA;RECIFE;M
0016217;;ENGENHO SERRARIA;CABO DE SANTO AGOSTINHO;
0016239;;CENTRO;ADRIANÓPOLIS;F
0016256;;CHA DO MARINHEIRO;SURUBIM;
0016419;;PINA;RECIFE;
0016861;;CENTRO;VITÓRIA DE SANTO ANTÃO;
0017263;;FRAGOSO;OLINDA;
0017512;;VASCO DA GAMA;RECIFE;
0017695;;CORDEIRO;RECIFE;
0017754;;SANTO AMARO;RECIFE;F
0017767;;SUAPE;CABO DE SANTO AGOSTINHO;
0018162;;CENTRO;MORENO;M
0018414;;IMBIRIBEIRA;RECIFE;
0018506;;CORVO BRANCO;LENÇÓIS PAULISTA;
